2024/01/05 02:19:39 [error] 15#15: *26 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:20:12 [error] 15#15: *32 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:20:44 [error] 15#15: *37 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:20:59 [error] 15#15: *40 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:21:00 [error] 15#15: *40 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:23:04 [error] 15#15: *52 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:23:05 [error] 15#15: *52 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:32:58 [error] 15#15: *62 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:33:14 [error] 15#15: *67 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:33:16 [error] 15#15: *67 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
